reporting_date,seller_type,payment_type,rto_type,rto_reason,last_undelivery_status,LPD_Bucket,rto_count,total_shipment_count
20260624,ABF,prepaid,ZRTO,ZRTO_others,,Breach,3,123
20260624,AIL,cod,Non_ZRTO,ORC,Undelivered_Order_Rejected_By_Customer,RTO On/Before LPD,5,36
20260624,AIL,cod,Non_ZRTO,ORC,Undelivered_Order_Rejected_By_Customer,Breach,3,36
20260624,AIL,cod,Non_ZRTO,Attempt_1_or_2,Undelivered_Request_For_Reschedule,Breach,1,36
20260624,AIL,cod,Non_ZRTO,Attempt_1_or_2,Undelivered_HeavyLoad,Breach,1,36
20260624,AIL,cod,ZRTO,ZRTO_others,,Breach,1,36
20260624,AIL,cod,Non_ZRTO,Attempt_1_or_2,Undelivered_No_Response,Breach,1,36
20260624,ATM,cod,ZRTO,ZRTO_others,,Breach,1,3
20260624,ATM,cod,Non_ZRTO,ORC,Undelivered_Order_Rejected_By_Customer,RTO On/Before LPD,1,3
20260624,AVH,cod,Non_ZRTO,ORC,Undelivered_Order_Rejected_By_Customer,RTO On/Before LPD,42,283
20260624,AVH,cod,Non_ZRTO,ORC,Undelivered_Order_Rejected_By_Customer,Breach,15,283
20260624,AVH,cod,Non_ZRTO,Attempt_GTE3_CNR,Undelivered_No_Response,Breach,14,283
20260624,AVH,cod,Non_ZRTO,Cancelled_by_Client,Undelivered_Order_Rejected_By_Customer,RTO On/Before LPD,8,283
20260624,AVH,cod,Non_ZRTO,Attempt_GTE3_RFR,Undelivered_Request_For_Reschedule,Breach,7,283
20260624,AVH,cod,ZRTO,ZRTO_others,,Breach,3,283
20260624,AVH,cod,Non_ZRTO,Cancelled_by_Client,Undelivered_Request_For_Reschedule,Breach,2,283
20260624,AVH,prepaid,ZRTO,ZRTO_others,,RTO On/Before LPD,2,183
20260624,AVH,cod,Non_ZRTO,Cancelled_by_Client,Undelivered_Order_Rejected_By_Customer,Breach,2,283
20260624,AVH,cod,ZRTO,ZRTO_others,,RTO On/Before LPD,1,283
20260624,AVH,prepaid,Non_ZRTO,Cancelled_by_Client,Undelivered_Order_Rejected_By_Customer,RTO On/Before LPD,1,183
20260624,AVH,cod,Non_ZRTO,Cancelled_by_Client,Undelivered_Request_For_Reschedule,RTO On/Before LPD,1,283
20260624,AVH,prepaid,ZRTO,ZRTO_others,,Breach,1,183
20260624,AVH,cod,ZRTO,ZRTO_NSS,Undelivered_NonServiceablePincode,Breach,1,283
20260624,AVH,cod,Non_ZRTO,Attempt_1_or_2,Undelivered_NonServiceablePincode,Breach,1,283
20260624,BBR,cod,Non_ZRTO,Attempt_GTE3_RFR,Undelivered_Request_For_Reschedule,Breach,8,37
20260624,BBR,cod,Non_ZRTO,ORC,Undelivered_Order_Rejected_By_Customer,RTO On/Before LPD,5,37
20260624,BBR,cod,Non_ZRTO,Attempt_GTE3_CNR,Undelivered_No_Response,Breach,4,37
20260624,BBR,cod,Non_ZRTO,Attempt_GTE3_Other,Undelivered_HeavyLoad,Breach,2,37
