reporting_date,seller_type,payment_type,rto_type,rto_reason,last_undelivery_status,LPD_Bucket,rto_count,total_shipment_count
20260407,ABF,prepaid,Non_ZRTO,ORC,Undelivered_Order_Rejected_By_Customer,RTO On/Before LPD,2,119
20260407,ABF,prepaid,ZRTO,ZRTO_others,,Breach,1,119
20260407,ABF,prepaid,Non_ZRTO,Attempt_GTE3_CNR,Undelivered_No_Response,Breach,1,119
20260407,ACM,cod,Non_ZRTO,Attempt_GTE3_RFR,Undelivered_Request_For_Reschedule,Breach,1,9
20260407,ACM,cod,ZRTO,ZRTO_SSM,Undelivered_SameStateMisroute,Breach,1,9
20260407,ACM,cod,Non_ZRTO,ORC,Undelivered_Order_Rejected_By_Customer,RTO On/Before LPD,1,9
20260407,ACM,cod,ZRTO,ZRTO_others,,Breach,1,9
20260407,AIL,cod,Non_ZRTO,ORC,Undelivered_Order_Rejected_By_Customer,RTO On/Before LPD,3,14
20260407,AIL,cod,Non_ZRTO,ORC,Undelivered_Order_Rejected_By_Customer,Breach,2,14
20260407,AIL,cod,Non_ZRTO,Attempt_1_or_2,Undelivered_No_Response,Breach,1,14
20260407,AIL,cod,ZRTO,ZRTO_others,,Breach,1,14
20260407,AIL,cod,Non_ZRTO,Attempt_GTE3_RFR,Undelivered_Request_For_Reschedule,Breach,1,14
20260407,ARD,prepaid,ZRTO,ZRTO_SSM,Undelivered_SameStateMisroute,Breach,1,5
20260407,BFK,cod,Non_ZRTO,ORC,Undelivered_Order_Rejected_By_Customer,RTO On/Before LPD,1,4
20260407,BFK,cod,Non_ZRTO,Attempt_1_or_2,Undelivered_No_Response,Breach,1,4
20260407,BFK,cod,Non_ZRTO,Attempt_1_or_2,Undelivered_Request_For_Reschedule,Breach,1,4
20260407,BGS,cod,Non_ZRTO,ORC,Undelivered_Order_Rejected_By_Customer,RTO On/Before LPD,3,47
20260407,BGS,cod,Non_ZRTO,Attempt_GTE3_RFR,Undelivered_Request_For_Reschedule,Breach,2,47
20260407,BGS,cod,Non_ZRTO,ORC,Undelivered_Order_Rejected_By_Customer,Breach,2,47
20260407,BGS,prepaid,Non_ZRTO,Attempt_GTE3_CNR,Undelivered_No_Response,Breach,2,158
20260407,BGS,cod,ZRTO,ZRTO_Damage,Undelivered_Shipment_Damage,Breach,2,47
20260407,BGS,cod,ZRTO,ZRTO_others,,Breach,2,47
20260407,BGS,prepaid,Non_ZRTO,ORC,Undelivered_Order_Rejected_By_Customer,RTO On/Before LPD,1,158
20260407,BGS,prepaid,ZRTO,ZRTO_SSM,Undelivered_SameStateMisroute,Breach,1,158
20260407,BGS,cod,ZRTO,ZRTO_OSM,Undelivered_OtherStateMisroute,Breach,1,47
20260407,BGS,cod,ZRTO,ZRTO_SSM,Undelivered_SameStateMisroute,Breach,1,47
20260407,BGS,prepaid,ZRTO,ZRTO_others,,Breach,1,158
20260407,BGS,prepaid,Non_ZRTO,Attempt_1_or_2,Undelivered_HeavyLoad,Breach,1,158
20260407,BHN,cod,Non_ZRTO,ORC,Undelivered_Order_Rejected_By_Customer,RTO On/Before LPD,12,90
20260407,BHN,cod,ZRTO,ZRTO_others,,Breach,4,90
20260407,BHN,cod,Non_ZRTO,ORC,Undelivered_Order_Rejected_By_Customer,Breach,3,90
20260407,BHN,cod,Non_ZRTO,Attempt_GTE3_CNR,Undelivered_No_Response,Breach,2,90
20260407,BHN,cod,ZRTO,ZRTO_NSS,Undelivered_NonServiceablePincode,Breach,1,90
20260407,BHN,cod,Non_ZRTO,Attempt_1_or_2,Undelivered_No_Response,Breach,1,90
20260407,BHN,cod,Non_ZRTO,Attempt_1_or_2,Undelivered_Request_For_Reschedule,Breach,1,90
20260407,BHN,prepaid,Non_ZRTO,Attempt_GTE3_CNR,Undelivered_No_Response,Breach,1,18
20260407,BHN,cod,Non_ZRTO,Attempt_GTE3_RFR,Undelivered_Request_For_Reschedule,Breach,1,90
20260407,BHN,cod,Non_ZRTO,Cancelled_by_Client,Undelivered_HeavyLoad,Breach,1,90
20260407,BIB,cod,Non_ZRTO,ORC,Undelivered_Order_Rejected_By_Customer,RTO On/Before LPD,1,17
20260407,BIB,cod,Non_ZRTO,ORC,Undelivered_Order_Rejected_By_Customer,Breach,1,17
20260407,BIB,cod,ZRTO,ZRTO_others,,Breach,1,17
20260407,BNB,prepaid,ZRTO,ZRTO_others,,Breach,4,196
20260407,BNB,cod,Non_ZRTO,ORC,Undelivered_Order_Rejected_By_Customer,RTO On/Before LPD,3,44
20260407,BNB,prepaid,Non_ZRTO,Attempt_GTE3_RFR,Undelivered_Request_For_Reschedule,Breach,1,196
20260407,BNB,cod,Non_ZRTO,ORC,Undelivered_Order_Rejected_By_Customer,Breach,1,44
20260407,BNB,cod,Non_ZRTO,Attempt_GTE3_CNR,Undelivered_No_Response,Breach,1,44
20260407,BNB,prepaid,Non_ZRTO,ORC,Undelivered_Order_Rejected_By_Customer,RTO On/Before LPD,1,196
20260407,BNB,cod,Non_ZRTO,Attempt_1_or_2,Undelivered_HeavyLoad,Breach,1,44
20260407,BNB,cod,ZRTO,ZRTO_NSS,Undelivered_NonServiceablePincode,Breach,1,44
20260407,BNB,cod,Non_ZRTO,Attempt_1_or_2,Undelivered_Request_For_Reschedule,RTO On/Before LPD,1,44
20260407,BSC,cod,Non_ZRTO,Cancelled_by_Client,Undelivered_HeavyLoad,Breach,1,20
20260407,BSC,cod,Non_ZRTO,Attempt_GTE3_RFR,Undelivered_Request_For_Reschedule,Breach,1,20
20260407,BSR,cod,Non_ZRTO,ORC,Undelivered_Order_Rejected_By_Customer,RTO On/Before LPD,642,3565
20260407,BSR,cod,Non_ZRTO,ORC,Undelivered_Order_Rejected_By_Customer,Breach,242,3565
20260407,BSR,cod,Non_ZRTO,Attempt_GTE3_CNR,Undelivered_No_Response,Breach,148,3565
